2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:11:14,078 [WARNING] fetch_kline.py:164 AKShare 拉取 002324 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:14,462 [WARNING] fetch_kline.py:164 AKShare 拉取 002317 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:14,688 [WARNING] fetch_kline.py:164 AKShare 拉取 002320 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:15,262 [WARNING] fetch_kline.py:164 AKShare 拉取 002321 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:15,262 [WARNING] fetch_kline.py:164 AKShare 拉取 002324 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:15,420 [WARNING] fetch_kline.py:164 AKShare 拉取 002315 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:15,543 [WARNING] fetch_kline.py:164 AKShare 拉取 002327 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:15,952 [WARNING] fetch_kline.py:164 AKShare 拉取 002332 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:16,226 [WARNING] fetch_kline.py:164 AKShare 拉取 002334 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:16,597 [WARNING] fetch_kline.py:164 AKShare 拉取 002335 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
